Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,CompaniesRotation,PercYearsCurrManager,PercYearsLastPromotion,PercYearsCurrentRole,MonthlyIncome_cat_encode
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,2,No,3,3,0,23,3,3,15,3,10.0,0.28,0.12,0.32,3
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,5,Yes,3,3,0,6,3,3,3,1,1.2,0.6666666666666666,0.3333333333333333,0.6666666666666666,1
24,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,0,No,3,4,1,5,5,2,4,1,0.0,0.75,0.25,0.5,1
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,7,No,4,2,0,10,4,3,5,0,1.4285714285714286,0.6,0.0,0.6,1
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,0,No,3,3,0,13,4,3,12,2,0.0,0.9166666666666666,0.16666666666666666,0.5,3
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1,No,3,4,0,1,5,3,1,0,0.0,0.0,0.0,0.0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2,No,3,3,0,8,2,3,4,1,4.0,0.75,0.25,0.5,1
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,4,No,3,4,1,23,3,2,14,4,6.5,0.5714285714285714,0.2857142857142857,0.9285714285714286,3
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,1,Yes,4,2,0,10,5,3,10,6,10.0,0.7,0.6,0.2,1
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,0,No,3,4,1,10,2,3,9,4,0.0,0.2222222222222222,0.4444444444444444,0.7777777777777778,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,3,No,3,4,1,23,4,3,15,5,8.0,0.7727272727272727,0.22727272727272727,0.2727272727272727,3
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,3,No,3,4,0,22,2,2,2,2,7.333333333333333,0.5,1.0,1.0,3
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,4,No,3,4,0,7,3,3,1,0,1.75,0.0,0.0,1.0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,2,Yes,3,4,0,9,5,4,4,1,4.5,0.75,0.25,0.5,2
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,1,No,3,1,0,10,5,3,10,1,10.0,0.8,0.1,0.0,0
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,3,No,3,3,1,19,5,4,1,0,6.333333333333333,0.0,0.0,0.0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2,Yes,3,1,1,6,2,2,2,2,3.0,0.0,1.0,0.0,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,1,No,3,4,2,6,3,2,5,1,6.0,0.8,0.2,0.6,0
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,1,Yes,3,3,0,3,2,3,3,0,3.0,0.6666666666666666,0.0,0.6666666666666666,0
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,1,No,3,1,0,2,3,3,2,2,2.0,1.0,1.0,1.0,0
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,7,Yes,3,4,1,6,3,4,1,0,0.6666666666666666,0.0,0.0,1.0,1
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,2,No,3,1,2,10,3,3,5,1,5.0,0.6,0.2,0.6,2
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1,No,3,3,1,1,3,3,1,0,1.0,0.0,0.0,0.0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,1,No,3,4,1,1,5,3,1,0,1.0,0.0,0.0,0.0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,1,No,3,3,0,1,2,2,1,0,1.0,1.0,0.0,0.0,0
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,1,No,3,4,0,9,1,3,9,1,9.0,0.7777777777777778,0.1111111111111111,0.8888888888888888,3
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,1,No,4,4,0,12,2,3,12,3,10.0,0.5833333333333334,0.25,0.6666666666666666,1
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,1,No,3,4,0,23,1,3,15,7,10.0,0.36363636363636365,0.6818181818181818,0.6818181818181818,3
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,0,No,4,3,0,10,2,3,9,7,0.0,0.7777777777777778,0.8888888888888888,0.5555555555555556,1
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,4,No,4,1,0,8,1,3,1,0,2.0,0.0,0.0,0.0,1
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,4,Yes,4,3,0,14,4,3,9,0,3.5,0.8888888888888888,0.0,0.6666666666666666,2
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,1,No,3,4,0,1,2,3,1,0,1.0,1.0,0.0,0.0,0
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,7,Yes,3,4,0,23,2,3,1,0,2.5555555555555554,0.0,0.0,0.0,2
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,1,Yes,3,3,0,2,3,2,2,2,2.0,1.0,1.0,1.0,1
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5,Yes,4,3,1,9,2,2,4,1,1.8,0.75,0.25,0.75,2
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,2,Yes,3,3,1,10,3,3,4,2,5.0,0.75,0.5,0.0,3
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,7,Yes,3,3,1,5,2,2,2,0,0.7142857142857143,0.0,0.0,1.0,1
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,1,Yes,3,3,0,15,1,3,15,7,10.0,0.8,0.5333333333333333,0.9333333333333333,3
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,1,No,4,4,1,9,3,2,9,1,9.0,0.8888888888888888,0.1111111111111111,0.8888888888888888,3
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,3,Yes,3,3,1,4,3,3,2,2,1.3333333333333333,1.0,1.0,1.0,1
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,3,No,4,4,1,10,3,2,7,1,3.3333333333333335,1.0,0.14285714285714285,1.0,2
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,1,No,3,3,1,7,2,4,7,0,7.0,1.0,0.0,0.7142857142857143,2
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,1,Yes,4,2,1,9,3,3,9,7,9.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,2
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,1,No,3,4,0,10,2,3,10,7,10.0,0.9,0.9,0.3,0
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,5,Yes,3,4,1,23,2,2,15,7,5.8,0.2962962962962963,0.48148148148148145,0.1111111111111111,3
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7,No,3,4,0,23,3,2,15,7,4.0,0.42857142857142855,0.3333333333333333,0.7619047619047619,2
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,1,No,3,2,2,17,2,3,15,7,10.0,0.47058823529411764,0.7058823529411765,0.8235294117647058,3
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,2,Yes,3,3,2,21,2,3,5,0,10.0,0.4,0.0,0.0,3
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,1,No,3,3,0,6,3,3,6,0,6.0,0.5,0.0,0.8333333333333334,2
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,2,No,3,3,1,23,2,3,1,0,10.0,0.0,0.0,0.0,3
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,4,No,3,4,1,5,2,2,3,1,1.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,0
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,0,Yes,3,1,1,2,1,2,1,0,0.0,0.0,0.0,0.0,1
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,7,No,3,4,0,20,2,2,4,1,2.857142857142857,0.75,0.25,0.75,2
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,0,No,4,4,1,6,3,3,5,0,0.0,0.8,0.0,0.8,0
31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,1,No,3,2,0,1,4,3,1,1,1.0,0.0,1.0,1.0,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,1,No,3,2,2,10,3,3,10,0,10.0,0.9,0.0,0.4,2
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3,No,3,2,0,5,3,3,1,0,1.6666666666666667,0.0,0.0,0.0,1
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,1,No,4,4,0,11,2,3,11,1,10.0,0.7272727272727273,0.09090909090909091,0.6363636363636364,1
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,0,No,3,2,0,16,2,3,15,2,0.0,0.5333333333333333,0.13333333333333333,0.8666666666666667,1
45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,4,Yes,3,2,0,17,3,4,1,0,4.25,0.0,0.0,0.0,3
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,4,No,3,1,0,16,3,4,5,0,4.0,0.4,0.0,0.4,3
46,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,7,Yes,4,4,1,16,2,3,4,0,2.0,0.5,0.0,0.5,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,1,Yes,3,3,2,10,1,2,10,3,10.0,0.0,0.3,0.8,2
35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,1,No,3,1,0,6,3,3,6,0,6.0,0.6666666666666666,0.0,0.6666666666666666,0
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,3,No,3,4,1,23,4,3,1,1,8.0,0.0,1.0,0.0,3
38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,7,Yes,3,4,2,17,3,3,13,1,2.4285714285714284,0.6923076923076923,0.07692307692307693,0.8461538461538461,2
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,1,No,3,3,0,5,2,3,5,1,5.0,0.6,0.2,0.4,1
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,4,No,3,1,0,23,3,2,6,0,9.25,0.3333333333333333,0.0,0.6666666666666666,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,3,No,3,3,1,3,3,3,1,0,1.0,0.0,0.0,0.0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,3,No,4,2,2,10,4,3,4,0,3.3333333333333335,0.75,0.0,0.5,0
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,1,No,3,1,2,11,3,3,11,7,10.0,0.7272727272727273,0.9090909090909091,0.9090909090909091,1
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,1,No,3,4,0,9,3,3,9,4,9.0,0.7777777777777778,0.4444444444444444,0.8888888888888888,3
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,1,No,4,4,1,22,3,2,15,7,10.0,0.5,0.5,0.13636363636363635,3
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,0,Yes,4,4,0,11,2,1,10,1,0.0,0.0,0.1,0.7,2
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,1,Yes,3,2,2,11,4,2,11,2,10.0,0.6363636363636364,0.18181818181818182,0.7272727272727273,2
46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,2,Yes,3,3,1,21,5,2,10,7,10.0,0.5,0.9,0.9,3
32,No,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,1,No,3,1,0,12,1,3,11,5,10.0,0.6363636363636364,0.45454545454545453,0.7272727272727273,2
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,7,No,3,1,1,16,5,1,4,0,1.7777777777777777,0.75,0.0,0.75,3
24,No,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,0,No,4,1,1,4,2,2,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666,2
28,No,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,1,No,3,2,0,5,3,4,5,0,5.0,0.8,0.0,0.8,1
58,No,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,0,No,3,3,0,23,1,2,15,1,0.0,0.21621621621621623,0.02702702702702703,0.2702702702702703,3
44,No,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,4,No,3,3,1,17,3,4,3,1,4.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,0
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,4,Yes,4,4,0,7,3,3,3,0,1.75,0.6666666666666666,0.0,0.6666666666666666,0
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,1,No,3,4,0,1,2,3,1,0,1.0,0.0,0.0,0.0,1
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,1,Yes,3,2,0,1,5,3,1,1,1.0,0.0,1.0,0.0,1
34,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,1,No,3,3,0,16,3,3,15,2,10.0,0.625,0.125,0.8125,1
37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5,No,3,4,1,17,2,4,1,0,3.4,0.0,0.0,0.0,2
59,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,7,No,4,4,1,23,3,3,3,2,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,3,Yes,3,1,0,23,1,2,8,0,9.333333333333334,0.875,0.0,0.375,3
25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,1,Yes,3,4,0,6,1,3,6,0,6.0,0.5,0.0,0.6666666666666666,2
25,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,1,No,3,3,2,2,2,3,2,2,2.0,0.5,1.0,1.0,0
22,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,1,No,3,3,0,1,5,3,1,0,1.0,0.0,0.0,0.0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,3,No,4,3,0,23,1,2,13,7,7.666666666666667,0.6153846153846154,0.9230769230769231,0.9230769230769231,2
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,1,Yes,4,4,0,9,3,3,9,0,9.0,0.6666666666666666,0.0,0.7777777777777778,2
54,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,2,Yes,3,3,0,23,3,3,5,4,10.0,0.8,0.8,0.6,3
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,0,No,3,3,1,6,2,3,5,1,0.0,0.4,0.2,0.6,0
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,6,No,3,3,1,12,3,3,1,0,2.0,0.0,0.0,0.0,1
37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,2,No,3,1,0,12,3,3,5,1,6.0,0.6,0.2,0.6,2
34,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,2,No,3,4,0,14,5,3,11,5,7.0,0.7272727272727273,0.45454545454545453,0.9090909090909091,3
36,No,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,0,No,3,3,1,10,5,3,9,2,0.0,0.8888888888888888,0.2222222222222222,0.7777777777777778,3
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,5,No,4,1,1,7,2,3,1,0,1.4,0.0,0.0,0.0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,1,Yes,3,4,2,23,3,4,15,4,10.0,0.48,0.16,0.48,3
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,1,No,4,3,2,10,2,2,10,0,10.0,0.9,0.0,0.7,0
33,No,Non-Travel,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,0,No,3,1,1,8,2,4,7,0,0.0,1.0,0.0,1.0,2
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,7,Yes,3,1,2,7,2,3,5,4,0.7777777777777778,0.6,0.8,0.8,2
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,7,No,3,3,0,23,5,3,15,7,3.2857142857142856,0.75,0.75,0.9,3
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,4,Yes,3,2,0,12,3,2,7,7,3.0,1.0,1.0,1.0,2
26,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,1,No,3,3,0,5,3,2,5,4,5.0,0.6,0.8,0.8,0
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,1,No,3,4,1,23,3,2,15,7,10.0,0.15,0.375,0.25,3
19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1,Yes,3,4,0,1,2,2,1,0,0.0,0.0,0.0,0.0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,0,No,3,3,1,3,2,3,2,2,0.0,0.5,1.0,0.5,0
49,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,1,No,3,3,0,16,2,2,15,5,10.0,0.7333333333333333,0.3333333333333333,0.7333333333333333,2
43,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4,No,3,4,0,18,2,3,3,1,4.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,1
50,No,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,4,No,3,4,0,16,3,3,2,2,4.0,0.5,1.0,1.0,3
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,3,Yes,3,3,1,4,2,3,2,2,1.3333333333333333,1.0,1.0,1.0,1
41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,3,Yes,3,3,1,12,2,3,9,0,4.0,0.7777777777777778,0.0,0.7777777777777778,2
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,1,No,4,4,1,8,3,3,8,5,8.0,0.875,0.625,0.875,1
36,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,6,No,4,4,2,7,1,3,3,0,1.1666666666666667,0.3333333333333333,0.0,0.6666666666666666,2
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,2,No,3,4,0,18,2,3,4,0,9.0,0.75,0.0,0.5,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,4,No,3,3,1,17,1,4,15,5,4.25,0.6,0.3333333333333333,0.7333333333333333,2
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,2,No,3,4,0,6,3,3,2,2,3.0,1.0,1.0,1.0,3
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,Married,0,Yes,3,4,0,12,2,1,11,4,0.0,0.6363636363636364,0.36363636363636365,0.8181818181818182,2
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,7,No,4,1,0,10,2,4,5,0,1.4285714285714286,0.8,0.0,0.8,1
45,No,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,5,No,3,2,0,9,2,2,6,0,1.8,0.5,0.0,0.8333333333333334,1
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,3,Yes,4,2,0,19,2,3,3,2,6.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
