Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CompaniesRotation,PercYearsCurrManager,PercYearsLastPromotion,PercYearsCurrentRole,MonthlyIncome_cat_encode,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Gender_Male,Department_Research & Development,Attrition_Yes,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
42,8,4,3,3,2,2,0,3,4,1,10,2,3,9,7,4,2,0.0,0.2222222222222222,0.4444444444444444,0.7777777777777778,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
44,7,4,1,2,3,4,3,3,4,1,23,4,3,15,6,5,9,8.0,0.7727272727272727,0.22727272727272727,0.2727272727272727,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,2,4,2,3,5,1,3,3,4,0,22,2,2,2,2,2,1,7.333333333333333,0.5,1.0,1.0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,2,3,3,3,1,4,4,3,4,0,7,3,3,1,1,0,0,1.75,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
44,10,4,4,3,2,4,2,3,4,0,9,5,4,4,2,1,3,4.5,0.75,0.25,0.5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
30,9,2,4,2,1,3,1,3,1,0,10,5,3,10,0,1,8,10.0,0.8,0.1,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
39,5,3,4,3,2,4,3,3,3,1,19,5,4,1,0,0,0,6.333333333333333,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
24,1,3,2,3,1,4,2,3,1,1,6,2,2,2,0,2,0,3.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
43,2,2,4,4,1,3,1,3,4,2,6,3,2,5,3,1,4,6.0,0.8,0.2,0.6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
50,3,2,1,2,1,3,1,3,3,0,3,2,3,3,2,0,2,3.0,0.6666666666666666,0.0,0.6666666666666666,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
35,2,3,4,3,1,4,1,3,1,0,2,3,3,2,2,2,2,2.0,1.0,1.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36,5,4,2,2,1,1,7,3,4,1,6,3,4,1,1,0,0,0.6666666666666666,0.0,0.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
33,1,3,3,4,2,1,2,3,1,2,10,3,3,5,3,1,3,5.0,0.6,0.2,0.6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35,4,2,3,3,1,4,1,3,3,1,1,3,3,1,0,0,0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
27,2,4,4,3,1,1,1,3,4,1,1,5,3,1,0,0,0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26,25,3,1,1,1,3,1,3,3,0,1,2,2,1,0,0,1,1.0,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
27,8,3,4,3,3,3,1,3,4,0,9,1,3,9,8,1,7,9.0,0.7777777777777778,0.1111111111111111,0.8888888888888888,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
30,1,2,3,3,2,4,1,4,4,0,12,2,3,12,8,3,7,10.0,0.5833333333333334,0.25,0.6666666666666666,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
41,12,3,2,3,5,3,1,3,4,0,23,1,3,15,9,7,8,10.0,0.36363636363636365,0.6818181818181818,0.6818181818181818,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
34,23,4,2,3,2,3,0,4,3,0,10,2,3,9,5,7,7,0.0,0.7777777777777778,0.8888888888888888,0.5555555555555556,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
37,19,2,2,3,1,2,4,4,1,0,8,1,3,1,0,0,0,2.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
46,5,4,1,3,2,4,4,4,3,0,14,4,3,9,6,0,8,3.5,0.8888888888888888,0.0,0.6666666666666666,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
35,8,1,4,4,1,4,1,3,4,0,1,2,3,1,0,0,1,1.0,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
48,1,2,1,2,3,3,7,3,4,0,23,2,3,1,0,0,0,2.5555555555555554,0.0,0.0,0.0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
28,5,4,3,3,1,3,1,3,3,0,2,3,2,2,2,2,2,2.0,1.0,1.0,1.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1
44,1,5,2,3,2,1,5,4,3,1,9,2,2,4,3,1,3,1.8,0.75,0.25,0.75,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,11,2,3,2,3,1,2,3,3,1,10,3,3,4,0,2,3,5.0,0.75,0.5,0.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
26,23,3,3,2,2,4,7,3,3,1,5,2,2,2,2,0,0,0.7142857142857143,0.0,0.0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
33,1,2,1,3,3,4,1,3,3,0,15,1,3,15,9,7,9,10.0,0.8,0.5333333333333333,0.9333333333333333,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
35,18,5,2,3,3,1,1,4,4,1,9,3,2,9,8,1,8,9.0,0.8888888888888888,0.1111111111111111,0.8888888888888888,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
35,23,4,3,3,1,1,3,3,3,1,4,3,3,2,2,2,2,1.3333333333333333,1.0,1.0,1.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
31,7,4,4,3,2,4,3,4,4,1,10,3,2,7,7,1,7,3.3333333333333335,1.0,0.14285714285714285,1.0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
37,1,4,1,2,2,3,1,3,3,1,7,2,4,7,5,0,7,7.0,1.0,0.0,0.7142857142857143,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
32,1,3,1,3,2,4,1,4,2,1,9,3,3,9,8,7,8,9.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
38,29,5,4,3,2,4,1,3,4,0,10,2,3,10,3,7,9,10.0,0.9,0.9,0.3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
50,7,2,2,2,5,3,5,3,4,1,23,2,2,15,3,7,8,5.8,0.2962962962962963,0.48148148148148145,0.1111111111111111,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
59,25,3,1,3,3,1,7,3,4,0,23,3,2,15,9,7,9,4.0,0.42857142857142855,0.3333333333333333,0.7619047619047619,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36,8,3,3,3,3,3,1,3,2,2,17,2,3,15,9,7,8,10.0,0.47058823529411764,0.7058823529411765,0.8235294117647058,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,8,3,4,3,4,3,2,3,3,2,21,2,3,5,0,0,2,10.0,0.4,0.0,0.0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
36,11,3,2,2,2,2,1,3,3,0,6,3,3,6,5,0,3,6.0,0.5,0.0,0.8333333333333334,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
45,7,3,2,3,3,1,2,3,3,1,23,2,3,1,0,0,0,10.0,0.0,0.0,0.0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
35,1,3,2,3,1,1,4,3,4,1,5,2,2,3,2,1,2,1.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
36,9,3,4,2,1,3,0,3,1,1,2,1,2,1,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
59,1,1,1,2,2,3,7,3,4,0,20,2,2,4,3,1,3,2.857142857142857,0.75,0.25,0.75,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29,2,3,3,3,1,2,0,4,4,1,6,3,3,5,4,0,4,0.0,0.8,0.0,0.8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
31,1,4,3,3,1,2,1,3,2,0,1,4,3,1,1,1,0,1.0,0.0,1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
32,1,3,2,3,2,2,1,3,2,2,10,3,3,10,4,0,9,10.0,0.9,0.0,0.4,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
36,6,3,2,4,1,4,3,3,2,0,5,3,3,1,0,0,0,1.6666666666666667,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
31,8,4,3,3,2,4,1,4,4,0,11,2,3,11,7,1,8,10.0,0.7272727272727273,0.09090909090909091,0.6363636363636364,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
35,1,4,3,2,2,1,0,3,2,0,16,2,3,15,9,2,8,0.0,0.5333333333333333,0.13333333333333333,0.8666666666666667,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
45,6,4,4,3,3,1,4,3,2,0,17,3,4,1,0,0,0,4.25,0.0,0.0,0.0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
37,7,4,1,3,3,3,4,3,1,0,16,3,4,5,2,0,2,4.0,0.4,0.0,0.4,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
46,5,2,2,3,2,2,7,4,4,1,16,2,3,4,2,0,2,2.0,0.5,0.0,0.5,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
30,1,1,4,2,2,4,1,3,3,2,10,1,2,10,8,3,0,10.0,0.0,0.3,0.8,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
35,1,3,2,2,1,3,1,3,1,0,6,3,3,6,4,0,4,6.0,0.6666666666666666,0.0,0.6666666666666666,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
55,1,2,1,3,3,4,3,3,4,1,23,4,3,1,0,1,0,8.0,0.0,1.0,0.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
38,6,3,2,1,2,4,7,3,4,2,17,3,3,13,9,1,9,2.4285714285714284,0.6923076923076923,0.07692307692307693,0.8461538461538461,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
34,1,2,1,3,2,2,1,3,3,0,5,2,3,5,2,1,3,5.0,0.6,0.2,0.4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
56,7,3,4,1,3,4,4,3,1,0,23,3,2,6,4,0,2,9.25,0.3333333333333333,0.0,0.6666666666666666,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
23,2,1,3,3,1,1,3,3,3,1,3,3,3,1,0,0,0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
51,9,4,4,3,1,4,3,4,2,2,10,4,3,4,2,0,3,3.3333333333333335,0.75,0.0,0.5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
30,2,3,3,2,2,4,1,3,1,2,11,3,3,11,9,7,8,10.0,0.7272727272727273,0.9090909090909091,0.9090909090909091,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
46,9,2,3,2,3,4,1,3,4,0,9,3,3,9,8,4,7,9.0,0.7777777777777778,0.4444444444444444,0.8888888888888888,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
40,1,4,3,2,4,2,1,4,4,1,22,3,2,15,3,7,9,10.0,0.5,0.5,0.13636363636363635,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
51,21,4,3,3,2,4,0,4,4,0,11,2,1,10,7,1,0,0.0,0.0,0.1,0.7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
30,4,2,3,2,2,2,1,3,2,2,11,4,2,11,8,2,7,10.0,0.6363636363636364,0.18181818181818182,0.7272727272727273,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
46,1,3,3,2,3,1,2,3,3,1,21,5,2,10,9,7,5,10.0,0.5,0.9,0.9,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
32,6,4,2,3,2,3,1,3,1,0,12,1,3,11,8,5,7,10.0,0.6363636363636364,0.45454545454545453,0.7272727272727273,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
54,2,4,1,3,3,3,7,3,1,1,16,5,1,4,3,0,3,1.7777777777777777,0.75,0.0,0.75,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
24,3,2,1,3,2,3,0,4,1,1,4,2,2,3,2,0,2,0.0,0.6666666666666666,0.0,0.6666666666666666,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,4,3,2,3,2,3,1,3,2,0,5,3,4,5,4,0,4,5.0,0.8,0.0,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
58,10,4,4,3,4,3,0,3,3,0,23,1,2,15,9,1,8,0.0,0.21621621621621623,0.02702702702702703,0.2702702702702703,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
44,23,3,2,3,2,2,4,3,3,1,17,3,4,3,2,1,2,4.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
37,6,4,3,3,1,1,4,4,4,0,7,3,3,3,2,0,2,1.75,0.6666666666666666,0.0,0.6666666666666666,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
32,1,1,4,3,1,1,1,3,4,0,1,2,3,1,0,0,0,1.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
20,6,3,4,2,1,4,1,3,2,0,1,5,3,1,0,1,0,1.0,0.0,1.0,0.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
34,6,4,1,3,2,3,1,3,3,0,16,3,3,15,9,2,9,10.0,0.625,0.125,0.8125,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
37,2,2,3,2,2,4,5,3,4,1,17,2,4,1,0,0,0,3.4,0.0,0.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
59,2,4,3,2,5,4,7,4,4,1,23,3,3,3,2,2,2,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50,1,3,1,3,5,2,3,3,1,0,23,1,2,8,3,0,7,9.333333333333334,0.875,0.0,0.375,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
25,5,3,3,2,2,3,1,3,4,0,6,1,3,6,4,0,3,6.0,0.5,0.0,0.6666666666666666,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
25,7,1,4,2,1,4,1,3,3,2,2,2,3,2,2,2,1,2.0,0.5,1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
22,15,3,2,3,1,4,1,3,3,0,1,5,3,1,0,0,0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
51,1,4,1,2,3,1,3,4,3,0,23,1,2,13,9,7,8,7.666666666666667,0.6153846153846154,0.9230769230769231,0.9230769230769231,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,7,3,1,1,2,3,1,4,4,0,9,3,3,9,7,0,6,9.0,0.6666666666666666,0.0,0.7777777777777778,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
54,26,3,4,4,4,4,2,3,3,0,23,3,3,5,3,4,4,10.0,0.8,0.8,0.6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
24,18,1,2,3,1,3,0,3,3,1,6,2,3,5,3,1,2,0.0,0.4,0.2,0.6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
34,6,4,3,2,2,2,6,3,3,1,12,3,3,1,0,0,0,2.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37,3,3,3,3,3,4,2,3,1,0,12,3,3,5,3,1,3,6.0,0.6,0.2,0.6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
34,5,3,3,2,3,1,2,3,4,0,14,5,3,11,9,5,8,7.0,0.7272727272727273,0.45454545454545453,0.9090909090909091,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
36,11,2,2,3,3,4,0,3,3,1,10,5,3,9,7,2,8,0.0,0.8888888888888888,0.2222222222222222,0.7777777777777778,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
36,3,2,1,3,1,4,5,4,1,1,7,2,3,1,0,0,0,1.4,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
43,26,2,3,3,4,4,1,3,4,2,23,3,4,15,9,4,9,10.0,0.48,0.16,0.48,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
30,23,3,1,1,1,3,1,4,3,2,10,2,2,10,7,0,9,10.0,0.9,0.0,0.7,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
33,22,2,3,3,2,2,0,3,1,1,8,2,4,7,7,0,7,0.0,1.0,0.0,1.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
56,14,4,2,3,1,2,7,3,1,2,7,2,3,5,4,4,3,0.7777777777777778,0.6,0.8,0.8,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
51,6,3,1,3,5,3,7,3,3,0,23,5,3,15,9,7,9,3.2857142857142856,0.75,0.75,0.9,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
31,6,4,2,1,2,3,4,3,2,0,12,3,2,7,7,7,7,3.0,1.0,1.0,1.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
26,6,3,3,2,1,2,1,3,3,0,5,3,2,5,4,4,3,5.0,0.6,0.8,0.8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
58,23,4,4,3,3,4,1,3,4,1,23,3,2,15,9,7,6,10.0,0.15,0.375,0.25,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
19,22,1,4,3,1,3,1,3,4,0,1,2,2,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
22,2,1,3,3,1,4,0,3,3,1,3,2,3,2,1,2,1,0.0,0.5,1.0,0.5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
